t,m,j,Expenditure
2016-17,Ashanti,Agushie Seed,439.2
2016-17,Ashanti,Akpeteshie,713.5
2016-17,Ashanti,Apple,614
2016-17,Ashanti,Avocado,444
2016-17,Ashanti,Banana,2236.5
2016-17,Ashanti,Beef,23067.94
2016-17,Ashanti,Beef (corned),926.2
2016-17,Ashanti,Beef (face),549
2016-17,Ashanti,Beef (leg),2893
2016-17,Ashanti,Beef (offal),1101
2016-17,Ashanti,Beef (steak),6503.4
2016-17,Ashanti,Beer,2446
2016-17,Ashanti,Biscuit,5350.2
2016-17,Ashanti,Bitters,963.4
2016-17,Ashanti,Bread,28224.8
2016-17,Ashanti,Canned Fruits,69.5
2016-17,Ashanti,Carrot,1110.5
2016-17,Ashanti,Cassava (dough),3657.49
2016-17,Ashanti,Cassava (dried),3030
2016-17,Ashanti,Cassava (fresh),12386.8
2016-17,Ashanti,"Cassava (white, flour)",2156
2016-17,Ashanti,"Cassava (yellow, flour)",155
2016-17,Ashanti,Cerelac (Baby food),3129.7
2016-17,Ashanti,Chewing Gum,368.95
2016-17,Ashanti,Chicken (breast),118
2016-17,Ashanti,Chicken (broiler),1251
2016-17,Ashanti,Chicken (frozen),90
2016-17,Ashanti,Chicken (gizzard),226
2016-17,Ashanti,Chicken (live),9599
2016-17,Ashanti,Chicken (thigh),11727.21
2016-17,Ashanti,Chicken (wing),701.5
2016-17,Ashanti,Chocolate,31
2016-17,Ashanti,Cigarette,361.1
2016-17,Ashanti,Cocoa (milk powder beverages),8206.53
2016-17,Ashanti,Cocoa Powder,13.4
2016-17,Ashanti,Coconut (dried),8
2016-17,Ashanti,Coconut (fresh),1083.5
2016-17,Ashanti,Cocoyam,1442
2016-17,Ashanti,Cocoyam Leaves,2792
2016-17,Ashanti,Coffee,46.4
2016-17,Ashanti,Condiments,2279.66
2016-17,Ashanti,Corflake,152.5
2016-17,Ashanti,Cowpea,1312.8
2016-17,Ashanti,Crab,143
2016-17,Ashanti,Curry Power,127.6
2016-17,Ashanti,Dawadawa,334.7
2016-17,Ashanti,Eggplant,9993.7
2016-17,Ashanti,Eggs,7553
2016-17,Ashanti,Fish (canned),3061.9
2016-17,Ashanti,Fish (dried),3045.8
2016-17,Ashanti,Fish (fried),4756.7
2016-17,Ashanti,Fish (salted),1028.2
2016-17,Ashanti,"Fish (smoked, river)",18087.5
2016-17,Ashanti,"Fish (smoked, sea)",11545
2016-17,Ashanti,Garlic,738.4
2016-17,Ashanti,Gin,16
2016-17,Ashanti,Ginger,1294.8
2016-17,Ashanti,Goat,6763
2016-17,Ashanti,Grape,120
2016-17,Ashanti,Groundnut,3727.48
2016-17,Ashanti,Guinea corn/sorghum,218
2016-17,Ashanti,Guineafowl,110
2016-17,Ashanti,Herring (smoked),20949.5
2016-17,Ashanti,Honey,595.5
2016-17,Ashanti,Ice Cream,357.7
2016-17,Ashanti,Instant Noodle,1089.6
2016-17,Ashanti,Juice,6003.9
2016-17,Ashanti,Kapla,8873.5
2016-17,Ashanti,Lime,24
2016-17,Ashanti,Macaroni,66.2
2016-17,Ashanti,Mackerel (processed),6731.57
2016-17,Ashanti,Maize (flour/dough),11144.02
2016-17,Ashanti,Maize (grain),2114.2
2016-17,Ashanti,Malt Drinks (bottle),3428.7
2016-17,Ashanti,Malt Drinks (canned),3694.8
2016-17,Ashanti,Mango,544.9
2016-17,Ashanti,Margarine,246.2
2016-17,Ashanti,Milk (evaporated),6202.25
2016-17,Ashanti,Milk (fresh),13
2016-17,Ashanti,Milk (powdered),3167.2
2016-17,Ashanti,"Milk (tinned, condensed)",2.5
2016-17,Ashanti,Millet (flour),65.4
2016-17,Ashanti,Oil (coconut),1.5
2016-17,Ashanti,Oil (groundnut),8
2016-17,Ashanti,Oil (palm kernel),41
2016-17,Ashanti,Oil (palm),5924
2016-17,Ashanti,Oil (vegetable),13607.25
2016-17,Ashanti,Okra,4453.1
2016-17,Ashanti,Onion,16835.7
2016-17,Ashanti,Orange,1168.6
2016-17,Ashanti,Other Beverages,130.3
2016-17,Ashanti,Other Cereal,50
2016-17,Ashanti,Other Fish,2113.5
2016-17,Ashanti,Other Fruits,5.4
2016-17,Ashanti,Other Meat,1465.6
2016-17,Ashanti,Other Milk Products,366.2
2016-17,Ashanti,Other Oils,118.2
2016-17,Ashanti,Other Spices,65.6
2016-17,Ashanti,Other Spirits,44.9
2016-17,Ashanti,Other Tobacco,333
2016-17,Ashanti,Other Tubers,5
2016-17,Ashanti,Other Vegetable,560
2016-17,Ashanti,Palm Nut,1110.2
2016-17,Ashanti,Pawpaw,306.5
2016-17,Ashanti,"Pepper (dried, red)",80.3
2016-17,Ashanti,Pepper (fresh),10808.49
2016-17,Ashanti,Pepper (powder),519.3
2016-17,Ashanti,Pineapple,408.5
2016-17,Ashanti,Plantain,19065
2016-17,Ashanti,Pork,391
2016-17,Ashanti,Pork (feet),167.96
2016-17,Ashanti,Potato,58
2016-17,Ashanti,Rice (imported),59051.25
2016-17,Ashanti,Rice (local),9548.88
2016-17,Ashanti,Salmon (smoked),26613
2016-17,Ashanti,Salt,1538.88
2016-17,Ashanti,Sausage (beef),103.5
2016-17,Ashanti,Sausage (chicken),206
2016-17,Ashanti,Sausage (pork),44
2016-17,Ashanti,Shallot,113
2016-17,Ashanti,Shea Butter,118
2016-17,Ashanti,Shrimp,94.5
2016-17,Ashanti,Snail,414
2016-17,Ashanti,Soft Drinks,2385.9
2016-17,Ashanti,Spaghetti,251.5
2016-17,Ashanti,Sugar (cubed),88.1
2016-17,Ashanti,Sugar (granulated),2281.99
2016-17,Ashanti,Sugar Bread,5444.5
2016-17,Ashanti,Sweet Pepper,272.9
2016-17,Ashanti,Taro,100
2016-17,Ashanti,Tea bag,596
2016-17,Ashanti,Tilapia,2223
2016-17,Ashanti,Tomato (fresh),25236.5
2016-17,Ashanti,Tomato (paste),10692.86
2016-17,Ashanti,Tuna (processed),359.6
2016-17,Ashanti,Water,18074.54
2016-17,Ashanti,Water Yam,541.5
2016-17,Ashanti,Watermelon,1140
2016-17,Ashanti,Wheat Flour,233.5
2016-17,Ashanti,Whisky,10.5
2016-17,Ashanti,White Oats,2068
2016-17,Ashanti,Wine,152
2016-17,Ashanti,Yam,28694
2016-17,Ashanti,Yoghurt,1464.8
2016-17,Brong Ahafo,Agushie Seed,324.25
2016-17,Brong Ahafo,Akpeteshie,1255.3
2016-17,Brong Ahafo,Apple,201
2016-17,Brong Ahafo,Avocado,106.5
2016-17,Brong Ahafo,Banana,556
2016-17,Brong Ahafo,Beef,24473.5
2016-17,Brong Ahafo,Beef (corned),101.5
2016-17,Brong Ahafo,Beef (face),229
2016-17,Brong Ahafo,Beef (leg),311
2016-17,Brong Ahafo,Beef (offal),903
2016-17,Brong Ahafo,Beef (steak),2154
2016-17,Brong Ahafo,Beer,1364.9
2016-17,Brong Ahafo,Biscuit,2404
2016-17,Brong Ahafo,Bitters,590.7
2016-17,Brong Ahafo,Bread,12414.95
2016-17,Brong Ahafo,Canned Fruits,4.5
2016-17,Brong Ahafo,Carrot,261.5
2016-17,Brong Ahafo,Cashew,1
2016-17,Brong Ahafo,Cassava (dough),2690.1
2016-17,Brong Ahafo,Cassava (dried),1498.7
2016-17,Brong Ahafo,Cassava (fresh),8676
2016-17,Brong Ahafo,"Cassava (white, flour)",1786.4
2016-17,Brong Ahafo,"Cassava (yellow, flour)",297.4
2016-17,Brong Ahafo,Cerelac (Baby food),818
2016-17,Brong Ahafo,Chewing Gum,178.2
2016-17,Brong Ahafo,Chicken (breast),4050
2016-17,Brong Ahafo,Chicken (broiler),482
2016-17,Brong Ahafo,Chicken (frozen),815.5
2016-17,Brong Ahafo,Chicken (gizzard),20
2016-17,Brong Ahafo,Chicken (live),2713
2016-17,Brong Ahafo,Chicken (thigh),11025.6
2016-17,Brong Ahafo,Chicken (wing),1876
2016-17,Brong Ahafo,Chilli Powder (black pepper),0.5
2016-17,Brong Ahafo,Chocolate,26.5
2016-17,Brong Ahafo,Cigarette,213.8
2016-17,Brong Ahafo,Cocoa (milk powder beverages),4433.9
2016-17,Brong Ahafo,Cocoa Powder,35
2016-17,Brong Ahafo,Coconut (dried),5.2
2016-17,Brong Ahafo,Coconut (fresh),374.1
2016-17,Brong Ahafo,Cocoyam,2102.5
2016-17,Brong Ahafo,Cocoyam Leaves,830
2016-17,Brong Ahafo,Coffee,83.5
2016-17,Brong Ahafo,Condiments,3163.05
2016-17,Brong Ahafo,Cowpea,2277.7
2016-17,Brong Ahafo,Crab,20
2016-17,Brong Ahafo,Curry Power,30.2
2016-17,Brong Ahafo,Dawadawa,318.8
2016-17,Brong Ahafo,Eggplant,6769.4
2016-17,Brong Ahafo,Eggs,3304.8
2016-17,Brong Ahafo,Fish (canned),2171.9
2016-17,Brong Ahafo,Fish (dried),2694
2016-17,Brong Ahafo,Fish (fried),3145.5
2016-17,Brong Ahafo,Fish (salted),658.5
2016-17,Brong Ahafo,"Fish (smoked, river)",26139
2016-17,Brong Ahafo,"Fish (smoked, sea)",2509
2016-17,Brong Ahafo,Garlic,595.96
2016-17,Brong Ahafo,Gin,13.9
2016-17,Brong Ahafo,Ginger,685.5
2016-17,Brong Ahafo,Goat,3889
2016-17,Brong Ahafo,Groundnut,5050.7
2016-17,Brong Ahafo,Guineafowl,210
2016-17,Brong Ahafo,Herring (smoked),19181
2016-17,Brong Ahafo,Honey,96.5
2016-17,Brong Ahafo,Ice Cream,233.5
2016-17,Brong Ahafo,Instant Noodle,558.8
2016-17,Brong Ahafo,Juice,1541.14
2016-17,Brong Ahafo,Kapla,10829.7
2016-17,Brong Ahafo,Lime,1
2016-17,Brong Ahafo,Macaroni,62.2
2016-17,Brong Ahafo,Mackerel (processed),2600.79
2016-17,Brong Ahafo,Maize (flour/dough),5408.3
2016-17,Brong Ahafo,Maize (grain),8256
2016-17,Brong Ahafo,Malt Drinks (bottle),2151.9
2016-17,Brong Ahafo,Malt Drinks (canned),1799.4
2016-17,Brong Ahafo,Mango,193
2016-17,Brong Ahafo,Margarine,69.5
2016-17,Brong Ahafo,Milk (evaporated),2130.18
2016-17,Brong Ahafo,Milk (fresh),2
2016-17,Brong Ahafo,Milk (powdered),1433.6
2016-17,Brong Ahafo,"Milk (tinned, condensed)",40
2016-17,Brong Ahafo,Millet,59
2016-17,Brong Ahafo,Millet (flour),2
2016-17,Brong Ahafo,Oil (coconut),2
2016-17,Brong Ahafo,Oil (groundnut),8
2016-17,Brong Ahafo,Oil (palm kernel),12
2016-17,Brong Ahafo,Oil (palm),3360.4
2016-17,Brong Ahafo,Oil (vegetable),11113
2016-17,Brong Ahafo,Okra,6440.5
2016-17,Brong Ahafo,Onion,13273.2
2016-17,Brong Ahafo,Orange,723.9
2016-17,Brong Ahafo,Other Beverages,102
2016-17,Brong Ahafo,Other Cereal,26
2016-17,Brong Ahafo,Other Fish,1921
2016-17,Brong Ahafo,Other Fruits,13.5
2016-17,Brong Ahafo,Other Meat,2000.5
2016-17,Brong Ahafo,Other Milk Products,128.8
2016-17,Brong Ahafo,Other Oils,158.5
2016-17,Brong Ahafo,Other Spices,31.5
2016-17,Brong Ahafo,Other Spirits,61.3
2016-17,Brong Ahafo,Other Tobacco,15
2016-17,Brong Ahafo,Other Vegetable,559
2016-17,Brong Ahafo,Palm Nut,979.5
2016-17,Brong Ahafo,Pawpaw,70.5
2016-17,Brong Ahafo,"Pepper (dried, red)",1446.6
2016-17,Brong Ahafo,Pepper (fresh),5018
2016-17,Brong Ahafo,Pepper (powder),1431.2
2016-17,Brong Ahafo,Pineapple,169.5
2016-17,Brong Ahafo,Plantain,8729
2016-17,Brong Ahafo,Pork,397
2016-17,Brong Ahafo,Pork (fillet),2
2016-17,Brong Ahafo,Potato,2
2016-17,Brong Ahafo,Rice (imported),30243.2
2016-17,Brong Ahafo,Rice (local),7991
2016-17,Brong Ahafo,Salmon (smoked),14106.3
2016-17,Brong Ahafo,Salt,3613.32
2016-17,Brong Ahafo,Sausage (chicken),7.5
2016-17,Brong Ahafo,Schnapps,40
2016-17,Brong Ahafo,Shallot,40
2016-17,Brong Ahafo,Shea Butter,104
2016-17,Brong Ahafo,Shrimp,99
2016-17,Brong Ahafo,Snail,251
2016-17,Brong Ahafo,Soft Drinks,1193.7
2016-17,Brong Ahafo,Spaghetti,313.5
2016-17,Brong Ahafo,Sugar (cubed),70.6
2016-17,Brong Ahafo,Sugar (granulated),3675.2
2016-17,Brong Ahafo,Sugar Bread,6565
2016-17,Brong Ahafo,Sweet Pepper,113
2016-17,Brong Ahafo,Taro,40
2016-17,Brong Ahafo,Tea bag,268.8
2016-17,Brong Ahafo,Tilapia,174
2016-17,Brong Ahafo,Tomato (fresh),12643.1
2016-17,Brong Ahafo,Tomato (paste),12313.46
2016-17,Brong Ahafo,Tuna (processed),81.9
2016-17,Brong Ahafo,Water,6119
2016-17,Brong Ahafo,Water Yam,1673.5
2016-17,Brong Ahafo,Watermelon,375
2016-17,Brong Ahafo,Wheat Flour,40
2016-17,Brong Ahafo,Whisky,54.1
2016-17,Brong Ahafo,White Oats,160
2016-17,Brong Ahafo,Wine,117
2016-17,Brong Ahafo,Yam,21413
2016-17,Brong Ahafo,Yoghurt,480.73
2016-17,Central,Agushie Seed,493.7
2016-17,Central,Akpeteshie,1842.2
2016-17,Central,Apple,424.7
2016-17,Central,Avocado,1017.5
2016-17,Central,Banana,2944
2016-17,Central,Beef,6093.33
2016-17,Central,Beef (corned),303.6
2016-17,Central,Beef (face),113
2016-17,Central,Beef (leg),1451.5
2016-17,Central,Beef (offal),1385
2016-17,Central,Beef (steak),6466.3
2016-17,Central,Beer,2240.5
2016-17,Central,Biscuit,5447.46
2016-17,Central,Bitters,982.8
2016-17,Central,Bread,17769.5
2016-17,Central,Canned Fruits,55
2016-17,Central,Carrot,1188.5
2016-17,Central,Cashew,1
2016-17,Central,Cassava (dough),5712.75
2016-17,Central,Cassava (dried),1696.3
2016-17,Central,Cassava (fresh),12487.5
2016-17,Central,"Cassava (white, flour)",9557.8
2016-17,Central,"Cassava (yellow, flour)",346.7
2016-17,Central,Cerelac (Baby food),1543.4
2016-17,Central,Chewing Gum,490.9
2016-17,Central,Chicken (breast),668
2016-17,Central,Chicken (broiler),231
2016-17,Central,Chicken (frozen),241.5
2016-17,Central,Chicken (gizzard),236.08
2016-17,Central,Chicken (live),2048
2016-17,Central,Chicken (thigh),8813.1
2016-17,Central,Chicken (wing),2611
2016-17,Central,Chilli Powder (black pepper),17.9
2016-17,Central,Chocolate,135.1
2016-17,Central,Cigarette,127.2
2016-17,Central,Cocoa (milk powder beverages),10544.78
2016-17,Central,Cocoa Powder,80
2016-17,Central,Coconut (dried),22
2016-17,Central,Coconut (fresh),1255.3
2016-17,Central,Cocoyam,1209
2016-17,Central,Cocoyam Leaves,2361.6
2016-17,Central,Coffee,24.2
2016-17,Central,Condiments,2945.24
2016-17,Central,Corflake,90
2016-17,Central,Cowpea,1229.5
2016-17,Central,Crab,596.2
2016-17,Central,Curry Power,189.6
2016-17,Central,Dawadawa,107.5
2016-17,Central,Eggplant,7334.3
2016-17,Central,Eggs,7490.87
2016-17,Central,Fish (canned),3205.4
2016-17,Central,Fish (dried),2650.2
2016-17,Central,Fish (fried),10918.1
2016-17,Central,Fish (salted),7183.87
2016-17,Central,"Fish (smoked, river)",4655
2016-17,Central,"Fish (smoked, sea)",44799.5
2016-17,Central,Garlic,1026.1
2016-17,Central,Gin,12.2
2016-17,Central,Ginger,946.1
2016-17,Central,Goat,4256.03
2016-17,Central,Grape,5
2016-17,Central,Groundnut,4541.28
2016-17,Central,Guinea corn/sorghum,46
2016-17,Central,Herring (smoked),16330.2
2016-17,Central,Honey,282
2016-17,Central,Ice Cream,396.7
2016-17,Central,Instant Noodle,2178.7
2016-17,Central,Juice,2252.51
2016-17,Central,Kapla,3378.1
2016-17,Central,Lime,17.5
2016-17,Central,Macaroni,67
2016-17,Central,Mackerel (processed),2898.6
2016-17,Central,Maize (flour/dough),16519.9
2016-17,Central,Maize (grain),4281.65
2016-17,Central,Malt Drinks (bottle),2894
2016-17,Central,Malt Drinks (canned),1597.8
2016-17,Central,Mango,583.7
2016-17,Central,Margarine,129.69
2016-17,Central,Milk (evaporated),5602.85
2016-17,Central,Milk (fresh),203
2016-17,Central,Milk (powdered),2830.48
2016-17,Central,"Milk (tinned, condensed)",3.8
2016-17,Central,Millet,31
2016-17,Central,Millet (flour),21
2016-17,Central,Oil (coconut),172.3
2016-17,Central,Oil (groundnut),8
2016-17,Central,Oil (palm kernel),27.8
2016-17,Central,Oil (palm),9915.1
2016-17,Central,Oil (vegetable),13984.7
2016-17,Central,Okra,4734.8
2016-17,Central,Onion,14808.1
2016-17,Central,Orange,2178.1
2016-17,Central,Other Beverages,236.75
2016-17,Central,Other Cereal,114.5
2016-17,Central,Other Fish,3483.3
2016-17,Central,Other Fruits,65
