t,m,j,u,Price
2015-16,Oromia,Other prepared food,Kg,25.51420122
2015-16,Oromia,Other pulse or nut,Kg,38.89756537
2015-16,Oromia,Other seed,Kg,19.64107996
2015-16,Oromia,Other tuber or stem,Kg,10.82149882
2015-16,Oromia,Other vegetable,Kg,16.26117868
2015-16,Oromia,Pasta/Macaroni,Kg,27.24317703
2015-16,Oromia,Potato,Kg,11.79357746
2015-16,Oromia,Poultry,Kg,365.333253
2015-16,Oromia,Salt,Kg,13.70535625
2015-16,Oromia,Soda,Kg,46.99390032
2015-16,Oromia,Sorghum,Kg,8.313483075
2015-16,Oromia,Sugar,Kg,25.11299651
2015-16,Oromia,Sweet potato,Kg,9.188598297
2015-16,Oromia,Tea,Kg,152.6354291
2015-16,Oromia,Teff,Kg,17.58306832
2015-16,Oromia,Tella,Kg,5.342391192
2015-16,Oromia,Tomato,Kg,9.518361182
2015-16,Oromia,Wheat,Kg,10.94823359
2015-16,SNNP,Banana,Kg,7.898626275
2015-16,SNNP,Barley,Kg,14.70731051
2015-16,SNNP,Beef,Kg,140.3096635
2015-16,SNNP,Beer,Kg,65.48397997
2015-16,SNNP,Berbere,Kg,100.6624886
2015-16,SNNP,Boye/Yam,Kg,10.51096704
2015-16,SNNP,Bread/biscuit,Kg,133.542086
2015-16,SNNP,Bula,Kg,43.54937563
2015-16,SNNP,Butter/ghee,Kg,233.3945507
2015-16,SNNP,Cassava,Kg,7.918959139
2015-16,SNNP,Chat/Kat,Kg,269.1186055
2015-16,SNNP,Cheese,Kg,64.61920441
2015-16,SNNP,Chick Pea,Kg,23.76409027
2015-16,SNNP,Coffee,Kg,80.2354547
2015-16,SNNP,Eggs,Kg,24.09402233
2015-16,SNNP,Field Pea,Kg,27.50409457
2015-16,SNNP,Fish,Kg,43.98183763
2015-16,SNNP,Goat & mutton meat,Kg,379.20738
2015-16,SNNP,Godere,Kg,11.03158006
2015-16,SNNP,Ground nuts,Kg,40.17246554
2015-16,SNNP,Haricot Beans,Kg,11.61363824
2015-16,SNNP,Horsebeans,Kg,20.64957032
2015-16,SNNP,Injera,Kg,153.8516627
2015-16,SNNP,Kariya,Kg,13.27090964
2015-16,SNNP,Kocho,Kg,25.47341547
2015-16,SNNP,Leafy Greens,Kg,10.57224111
2015-16,SNNP,Lentils,Kg,70.12351589
2015-16,SNNP,Linseed,Kg,34.81337116
2015-16,SNNP,Maize,Kg,14.25698806
2015-16,SNNP,Milk,Kg,21.51360875
2015-16,SNNP,Millet,Kg,43.49273138
2015-16,SNNP,Niger Seed,Kg,32.54166619
2015-16,SNNP,Oils,Kg,58.15128223
2015-16,SNNP,Onion,Kg,10.32161159
2015-16,SNNP,Orange,Kg,17.62580191
2015-16,SNNP,Other cereal,Kg,12.37878789
2015-16,SNNP,Other fruit,Kg,13.45442477
2015-16,SNNP,Other prepared food,Kg,85.95717683
2015-16,SNNP,Other pulse or nut,Kg,26.77777762
2015-16,SNNP,Other seed,Kg,7.676007812
2015-16,SNNP,Other tuber or stem,Kg,44.01980476
2015-16,SNNP,Other vegetable,Kg,21.62373307
2015-16,SNNP,Pasta/Macaroni,Kg,44.7980856
2015-16,SNNP,Potato,Kg,11.0934648
2015-16,SNNP,Poultry,Kg,380.8303774
2015-16,SNNP,Salt,Kg,30.42102248
2015-16,SNNP,Soda,Kg,48.7312267
2015-16,SNNP,Sorghum,Kg,6.324374142
2015-16,SNNP,Sugar,Kg,31.97339385
2015-16,SNNP,Sweet potato,Kg,11.15354009
2015-16,SNNP,Tea,Kg,152.3019626
2015-16,SNNP,Teff,Kg,28.82863552
2015-16,SNNP,Tella,Kg,14.69183626
2015-16,SNNP,Tomato,Kg,10.40246975
2015-16,SNNP,Wheat,Kg,12.01877149
2015-16,Somali,Banana,Kg,14.68945108
2015-16,Somali,Barley,Kg,13.87298263
2015-16,Somali,Beef,Kg,147.5
2015-16,Somali,Beer,Kg,43.33333161
2015-16,Somali,Berbere,Kg,111.6812183
2015-16,Somali,Boye/Yam,Kg,12
2015-16,Somali,Bread/biscuit,Kg,11.78804199
2015-16,Somali,Butter/ghee,Kg,91.19999966
2015-16,Somali,Chat/Kat,Kg,300.8450173
2015-16,Somali,Chick Pea,Kg,59.33333333
2015-16,Somali,Coffee,Kg,59.82861036
2015-16,Somali,Eggs,Kg,18.26011608
2015-16,Somali,Field Pea,Kg,18.8
2015-16,Somali,Goat & mutton meat,Kg,113.0232546
2015-16,Somali,Ground nuts,Kg,92.28559492
2015-16,Somali,Haricot Beans,Kg,23.59715381
2015-16,Somali,Horsebeans,Kg,22.81818167
2015-16,Somali,Injera,Kg,50.02492979
2015-16,Somali,Kariya,Kg,15.4671655
2015-16,Somali,Kocho,Kg,13.5
2015-16,Somali,Leafy Greens,Kg,27.1167994
2015-16,Somali,Lentils,Kg,52.88502665
2015-16,Somali,Linseed,Kg,29.99999858
2015-16,Somali,Maize,Kg,10.61017978
2015-16,Somali,Milk,Kg,27.58114144
2015-16,Somali,Millet,Kg,20
2015-16,Somali,Oils,Kg,43.30850155
2015-16,Somali,Onion,Kg,15.77587443
2015-16,Somali,Orange,Kg,27.34899438
2015-16,Somali,Other cereal,Kg,19.80766487
2015-16,Somali,Other fruit,Kg,25
2015-16,Somali,Other prepared food,Kg,62.94230981
2015-16,Somali,Other pulse or nut,Kg,50.17387728
2015-16,Somali,Other vegetable,Kg,31.07928786
2015-16,Somali,Pasta/Macaroni,Kg,22.23354831
2015-16,Somali,Potato,Kg,15.20019362
2015-16,Somali,Poultry,Kg,232.5581357
2015-16,Somali,Salt,Kg,14.15913977
2015-16,Somali,Soda,Kg,68.48031322
2015-16,Somali,Sorghum,Kg,11.72007512
2015-16,Somali,Sugar,Kg,21.7481916
2015-16,Somali,Tea,Kg,762.2040242
2015-16,Somali,Teff,Kg,18.81547619
2015-16,Somali,Tomato,Kg,13.40609312
2015-16,Somali,Wheat,Kg,14.17223298
2015-16,Tigray,Banana,Kg,15.46154319
2015-16,Tigray,Barley,Kg,10.03415194
2015-16,Tigray,Beef,Kg,113.9811608
2015-16,Tigray,Beer,Kg,55.35620195
2015-16,Tigray,Berbere,Kg,79.89346664
2015-16,Tigray,Bread/biscuit,Kg,29.27469941
2015-16,Tigray,Bula,Kg,80
2015-16,Tigray,Butter/ghee,Kg,218.7406819
2015-16,Tigray,Chat/Kat,Kg,173.472441
2015-16,Tigray,Cheese,Kg,8.666666667
2015-16,Tigray,Chick Pea,Kg,27.79942251
2015-16,Tigray,Coffee,Kg,109.6930839
2015-16,Tigray,Eggs,Kg,15.26119684
2015-16,Tigray,Field Pea,Kg,26.91017521
2015-16,Tigray,Fish,Kg,172.1153833
2015-16,Tigray,Goat & mutton meat,Kg,624.3748475
2015-16,Tigray,Godere,Kg,10
2015-16,Tigray,Ground nuts,Kg,46.27516007
2015-16,Tigray,Haricot Beans,Kg,25.16598105
2015-16,Tigray,Horsebeans,Kg,24.92199108
2015-16,Tigray,Injera,Kg,59.94641431
2015-16,Tigray,Kariya,Kg,18.35448167
2015-16,Tigray,Kocho,Kg,14.76190456
2015-16,Tigray,Leafy Greens,Kg,13.96002107
2015-16,Tigray,Lentils,Kg,49.78482291
2015-16,Tigray,Linseed,Kg,27.75929653
2015-16,Tigray,Maize,Kg,10.53817639
2015-16,Tigray,Milk,Kg,15.15460597
2015-16,Tigray,Millet,Kg,7.236680135
2015-16,Tigray,Niger Seed,Kg,16.16739448
2015-16,Tigray,Oils,Kg,36.74938034
2015-16,Tigray,Onion,Kg,14.15333728
2015-16,Tigray,Orange,Kg,27.58139533
2015-16,Tigray,Other fruit,Kg,20.92571286
2015-16,Tigray,Other prepared food,Kg,2.499999963
2015-16,Tigray,Other pulse or nut,Kg,26.4157566
