i,t,m,age,sex,HH_size
84077,2015,USA,46,Female,3
84078,2015,USA,9,Female,3
84079,2015,USA,10,Female,3
84080,2015,USA,2,Male,6
84081,2015,USA,5.40E-79,Female,5
84082,2015,USA,24,Female,2
84083,2015,USA,5,Male,4
84084,2015,USA,4,Male,3
84085,2015,USA,7,Female,4
84086,2015,USA,45,Male,4
84087,2015,USA,36,Male,4
84088,2015,USA,45,Female,6
84089,2015,USA,53,Male,1
84090,2015,USA,26,Female,3
84091,2015,USA,60,Female,3
84092,2015,USA,58,Female,4
84093,2015,USA,16,Female,4
84094,2015,USA,73,Female,2
84095,2015,USA,61,Female,2
84096,2015,USA,9,Female,6
84097,2015,USA,7,Female,3
84098,2015,USA,26,Male,7
84099,2015,USA,74,Male,3
84100,2015,USA,13,Male,5
84101,2015,USA,80,Male,2
84102,2015,USA,13,Female,4
84103,2015,USA,33,Male,1
84104,2015,USA,1,Female,5
84105,2015,USA,28,Male,4
84106,2015,USA,57,Male,2
84107,2015,USA,60,Female,3
84108,2015,USA,63,Male,1
84109,2015,USA,66,Male,2
84110,2015,USA,28,Male,7
84111,2015,USA,58,Male,1
84112,2015,USA,46,Male,3
84113,2015,USA,7,Male,5
84114,2015,USA,59,Male,1
84115,2015,USA,80,Male,2
84116,2015,USA,1,Female,3
84117,2015,USA,11,Male,4
84118,2015,USA,72,Female,4
84119,2015,USA,52,Male,5
84120,2015,USA,67,Male,4
84121,2015,USA,18,Male,7
84122,2015,USA,54,Male,2
84123,2015,USA,8,Male,3
84124,2015,USA,1,Female,7
84125,2015,USA,72,Female,2
84126,2015,USA,38,Male,7
84127,2015,USA,12,Female,7
84128,2015,USA,46,Female,1
84129,2015,USA,80,Male,2
84130,2015,USA,26,Female,2
84131,2015,USA,4,Male,6
84132,2015,USA,3,Female,6
84133,2015,USA,5,Male,3
84134,2015,USA,13,Male,6
84135,2015,USA,5.40E-79,Male,3
84136,2015,USA,8,Male,5
84137,2015,USA,28,Female,2
84138,2015,USA,1,Female,4
84139,2015,USA,78,Female,1
84140,2015,USA,21,Female,1
84141,2015,USA,10,Female,5
84142,2015,USA,24,Male,5
84143,2015,USA,35,Female,6
84144,2015,USA,8,Male,3
84145,2015,USA,2,Female,3
84146,2015,USA,4,Male,5
84147,2015,USA,78,Male,7
84148,2015,USA,1,Female,7
84149,2015,USA,9,Male,4
84150,2015,USA,3,Male,5
84151,2015,USA,53,Female,2
84152,2015,USA,46,Female,3
84153,2015,USA,6,Male,7
84154,2015,USA,10,Male,3
84155,2015,USA,14,Female,4
84156,2015,USA,29,Female,5
84157,2015,USA,45,Male,2
84158,2015,USA,5,Male,4
84159,2015,USA,4,Male,3
84160,2015,USA,45,Female,3
84161,2015,USA,1,Female,7
84162,2015,USA,1,Female,5
84163,2015,USA,3,Female,7
84164,2015,USA,7,Female,4
84165,2015,USA,57,Male,7
84166,2015,USA,67,Female,2
84167,2015,USA,46,Male,5
84168,2015,USA,61,Male,3
84169,2015,USA,43,Male,3
84170,2015,USA,46,Male,3
84171,2015,USA,30,Female,3
84172,2015,USA,20,Male,3
84173,2015,USA,52,Male,3
84174,2015,USA,54,Female,2
84175,2015,USA,4,Female,3
84176,2015,USA,7,Female,5
84177,2015,USA,77,Male,2
84178,2015,USA,80,Male,6
84179,2015,USA,7,Female,4
84180,2015,USA,33,Male,3
84181,2015,USA,35,Male,7
84182,2015,USA,41,Female,4
84183,2015,USA,80,Female,6
84184,2015,USA,58,Male,1
84185,2015,USA,37,Male,4
84186,2015,USA,45,Male,3
84187,2015,USA,25,Female,7
84188,2015,USA,61,Female,4
84189,2015,USA,62,Female,3
84190,2015,USA,6,Male,7
84191,2015,USA,12,Female,4
84192,2015,USA,27,Female,5
84193,2015,USA,5.40E-79,Female,3
84194,2015,USA,58,Female,2
84195,2015,USA,45,Male,1
84196,2015,USA,32,Male,7
84197,2015,USA,59,Male,2
84198,2015,USA,12,Male,7
84199,2015,USA,2,Male,7
84200,2015,USA,24,Female,2
84201,2015,USA,78,Male,6
84202,2015,USA,19,Male,5
84203,2015,USA,21,Male,3
84204,2015,USA,10,Male,6
84205,2015,USA,51,Male,6
84206,2015,USA,16,Male,4
84207,2015,USA,5,Female,5
84208,2015,USA,67,Female,1
84209,2015,USA,4,Female,4
84210,2015,USA,13,Female,7
84211,2015,USA,18,Male,4
84212,2015,USA,67,Female,2
84213,2015,USA,9,Female,5
84214,2015,USA,4,Female,5
84215,2015,USA,14,Female,2
84216,2015,USA,65,Male,2
84217,2015,USA,59,Female,3
84218,2015,USA,56,Male,4
84219,2015,USA,31,Male,4
84220,2015,USA,36,Male,4
84221,2015,USA,16,Female,5
84222,2015,USA,44,Male,2
84223,2015,USA,1,Male,3
84224,2015,USA,56,Female,2
84225,2015,USA,60,Male,3
84226,2015,USA,64,Male,3
84227,2015,USA,36,Male,7
84228,2015,USA,38,Male,5
84229,2015,USA,43,Female,2
84230,2015,USA,28,Female,6
84231,2015,USA,75,Female,1
84232,2015,USA,61,Male,4
84233,2015,USA,17,Male,4
84234,2015,USA,40,Female,7
84235,2015,USA,47,Female,2
84236,2015,USA,75,Male,1
84237,2015,USA,3,Male,3
84238,2015,USA,25,Female,2
84239,2015,USA,74,Male,2
84240,2015,USA,5.40E-79,Female,3
84241,2015,USA,50,Male,1
84242,2015,USA,42,Female,5
84243,2015,USA,16,Female,5
84244,2015,USA,5.40E-79,Female,4
84245,2015,USA,43,Female,7
84246,2015,USA,57,Female,1
84247,2015,USA,16,Female,4
84248,2015,USA,29,Female,2
84249,2015,USA,5.40E-79,Male,5
84250,2015,USA,5.40E-79,Male,3
84251,2015,USA,20,Male,2
84252,2015,USA,10,Male,5
84253,2015,USA,14,Female,5
84254,2015,USA,10,Female,4
84255,2015,USA,1,Male,4
84256,2015,USA,63,Male,4
84257,2015,USA,5.40E-79,Male,4
84258,2015,USA,7,Female,6
84259,2015,USA,5,Male,3
84260,2015,USA,60,Male,4
84261,2015,USA,2,Male,4
84262,2015,USA,5.40E-79,Female,4
84263,2015,USA,7,Male,5
84264,2015,USA,61,Male,4
84265,2015,USA,76,Male,7
84266,2015,USA,5.40E-79,Female,7
84267,2015,USA,58,Male,1
84268,2015,USA,2,Female,5
84269,2015,USA,26,Male,2
84270,2015,USA,12,Male,3
84271,2015,USA,67,Male,3
84272,2015,USA,11,Male,3
84273,2015,USA,63,Male,3
84274,2015,USA,11,Male,7
84275,2015,USA,1,Male,5
84276,2015,USA,26,Female,3
84277,2015,USA,28,Female,6
84278,2015,USA,14,Female,4
84279,2015,USA,56,Female,2
84280,2015,USA,77,Male,2
84281,2015,USA,12,Male,5
84282,2015,USA,18,Female,3
84283,2015,USA,9,Female,5
84284,2015,USA,70,Female,2
84285,2015,USA,44,Female,2
84286,2015,USA,13,Female,3
84287,2015,USA,34,Male,7
84288,2015,USA,10,Female,6
84289,2015,USA,4,Male,4
84290,2015,USA,30,Male,5
84291,2015,USA,36,Female,5
84292,2015,USA,54,Female,3
84293,2015,USA,41,Male,3
84294,2015,USA,23,Male,3
84295,2015,USA,58,Female,1
84296,2015,USA,7,Female,6
84297,2015,USA,12,Male,3
84298,2015,USA,36,Female,4
84299,2015,USA,51,Male,2
84300,2015,USA,25,Female,3
84301,2015,USA,72,Male,2
84302,2015,USA,74,Male,2
84303,2015,USA,68,Female,2
84304,2015,USA,8,Male,5
84305,2015,USA,36,Female,3
84306,2015,USA,5.40E-79,Female,6
84307,2015,USA,8,Male,7
84308,2015,USA,41,Female,5
84309,2015,USA,66,Male,6
84310,2015,USA,15,Male,7
84311,2015,USA,47,Female,2
84312,2015,USA,5.40E-79,Male,6
84313,2015,USA,9,Female,7
84314,2015,USA,14,Male,5
84315,2015,USA,60,Male,2
84316,2015,USA,45,Female,5
84317,2015,USA,11,Female,3
84318,2015,USA,39,Male,3
84319,2015,USA,57,Female,4
84320,2015,USA,2,Male,6
84321,2015,USA,62,Female,3
84322,2015,USA,40,Male,2
84323,2015,USA,21,Female,5
84324,2015,USA,59,Male,4
84325,2015,USA,17,Female,4
84326,2015,USA,13,Male,5
84327,2015,USA,63,Male,4
84328,2015,USA,16,Male,4
84329,2015,USA,38,Male,4
84330,2015,USA,14,Female,4
84331,2015,USA,14,Male,2
84332,2015,USA,62,Female,2
84333,2015,USA,5.40E-79,Male,6
84334,2015,USA,2,Female,3
84335,2015,USA,6,Male,6
84336,2015,USA,80,Female,1
84337,2015,USA,7,Male,7
84338,2015,USA,50,Female,2
84339,2015,USA,3,Female,6
84340,2015,USA,16,Female,4
84341,2015,USA,7,Male,7
84342,2015,USA,9,Female,5
84343,2015,USA,3,Male,4
84344,2015,USA,2,Male,3
84345,2015,USA,2,Male,5
84346,2015,USA,3,Female,4
84347,2015,USA,28,Female,1
84348,2015,USA,2,Male,3
84349,2015,USA,39,Female,3
84350,2015,USA,4,Male,4
84351,2015,USA,6,Female,7
84352,2015,USA,5.40E-79,Female,5
84353,2015,USA,54,Male,5
84354,2015,USA,80,Male,2
84355,2015,USA,5.40E-79,Female,3
84356,2015,USA,8,Male,6
84357,2015,USA,25,Male,2
84358,2015,USA,2,Female,3
84359,2015,USA,72,Female,2
84360,2015,USA,55,Male,3
84361,2015,USA,31,Female,3
84362,2015,USA,1,Female,4
84363,2015,USA,36,Female,4
84364,2015,USA,27,Male,4
84365,2015,USA,5.40E-79,Male,5
84366,2015,USA,48,Female,3
84367,2015,USA,5.40E-79,Male,4
84368,2015,USA,42,Male,3
84369,2015,USA,31,Female,3
84370,2015,USA,6,Female,7
84371,2015,USA,15,Male,6
84372,2015,USA,70,Female,1
84373,2015,USA,5.40E-79,Female,3
84374,2015,USA,74,Female,3
84375,2015,USA,60,Male,7
84376,2015,USA,55,Male,1
84377,2015,USA,70,Male,2
84378,2015,USA,45,Female,7
84379,2015,USA,35,Male,4
84380,2015,USA,35,Male,5
84381,2015,USA,80,Male,2
84382,2015,USA,16,Male,6
84383,2015,USA,32,Female,4
84384,2015,USA,34,Male,4
84385,2015,USA,18,Male,4
84386,2015,USA,5.40E-79,Female,6
84387,2015,USA,4,Male,3
84388,2015,USA,65,Male,2
84389,2015,USA,66,Female,2
84390,2015,USA,33,Male,6
84391,2015,USA,18,Male,3
84392,2015,USA,53,Female,7
84393,2015,USA,35,Male,4
84394,2015,USA,45,Female,6
84395,2015,USA,25,Female,3
84396,2015,USA,38,Female,4
84397,2015,USA,2,Male,3
84398,2015,USA,38,Male,1
84399,2015,USA,17,Female,3
84400,2015,USA,60,Female,2
84401,2015,USA,19,Female,6
84402,2015,USA,27,Female,2
84403,2015,USA,61,Male,3
84404,2015,USA,31,Male,4
84405,2015,USA,33,Male,2
84406,2015,USA,9,Male,5
84407,2015,USA,5,Female,7
84408,2015,USA,4,Female,2
84409,2015,USA,47,Female,4
84410,2015,USA,28,Female,7
84411,2015,USA,23,Male,4
84412,2015,USA,25,Female,3
84413,2015,USA,41,Male,4
84414,2015,USA,16,Male,5
84415,2015,USA,2,Female,6
84416,2015,USA,8,Male,4
84417,2015,USA,18,Female,5
84418,2015,USA,75,Male,2
84419,2015,USA,35,Female,4
84420,2015,USA,27,Male,5
84421,2015,USA,12,Male,2
84422,2015,USA,6,Male,7
84423,2015,USA,59,Male,1
84424,2015,USA,69,Male,1
84425,2015,USA,51,Female,1
84426,2015,USA,51,Male,4
84427,2015,USA,64,Male,3
84428,2015,USA,3,Male,4
84429,2015,USA,45,Female,1
84430,2015,USA,9,Male,7
84431,2015,USA,46,Male,4
84432,2015,USA,9,Male,3
84433,2015,USA,18,Male,4
84434,2015,USA,31,Male,2
84435,2015,USA,80,Female,1
84436,2015,USA,16,Male,4
84437,2015,USA,48,Female,1
84438,2015,USA,9,Female,4
84439,2015,USA,10,Female,5
84440,2015,USA,30,Female,3
84441,2015,USA,51,Female,3
84442,2015,USA,34,Female,3
84443,2015,USA,64,Male,2
84444,2015,USA,36,Female,6
84445,2015,USA,9,Male,7
84446,2015,USA,14,Male,3
84447,2015,USA,77,Male,2
84448,2015,USA,26,Female,1
84449,2015,USA,3,Male,5
84450,2015,USA,18,Female,3
84451,2015,USA,51,Male,6
84452,2015,USA,56,Female,1
84453,2015,USA,26,Male,4
84454,2015,USA,60,Female,6
84455,2015,USA,66,Female,1
84456,2015,USA,42,Female,5
84457,2015,USA,19,Female,1
84458,2015,USA,5.40E-79,Male,3
84459,2015,USA,31,Female,4
84460,2015,USA,14,Male,7
84461,2015,USA,15,Female,6
84462,2015,USA,35,Female,5
84463,2015,USA,59,Male,7
84464,2015,USA,69,Male,1
84465,2015,USA,7,Female,6
84466,2015,USA,19,Female,3
84467,2015,USA,28,Male,2
84468,2015,USA,15,Male,4
84469,2015,USA,62,Female,3
