t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,log HSize
2012-13,Western,60015/13,,,,,1,,,,,,,1,,,0.6931471806
2012-13,Western,60015/14,1,1,,,1,,,1,,,,1,,,1.609437912
2012-13,Western,60015/15,,,,,,,1,,,,1,,,1,1.098612289
2012-13,Western,60016/01,,1,,2,,1,,,,,1,,1,,1.791759469
2012-13,Western,60016/02,,,1,,,1,1,1,1,,,,1,,1.791759469
2012-13,Western,60016/03,1,,,,1,1,1,,,,,,,1,1.609437912
2012-13,Western,60016/04,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60016/05,,,,,,,1,,,,,,,,
2012-13,Western,60016/06,,1,,,1,,,,,1,,,1,,1.386294361
2012-13,Western,60016/07,,,,1,,1,,,,1,,2,,,1.609437912
2012-13,Western,60016/08,,1,1,,,,1,,1,1,,,,1,1.791759469
2012-13,Western,60016/09,,1,,,,1,,1,,1,2,1,1,,2.079441542
2012-13,Western,60016/10,,1,,,,1,,,,1,,,,1,1.386294361
2012-13,Western,60016/11,,,1,,,1,,,1,,,,1,,1.386294361
2012-13,Western,60016/12,2,,,1,1,,,,,,,,,1,1.609437912
2012-13,Western,60016/13,,1,1,,,1,,1,,,1,,1,,1.791759469
2012-13,Western,60016/14,,,,,2,1,,,,,,,1,,1.386294361
2012-13,Western,60016/15,,1,1,,,1,,,1,1,,,1,,1.791759469
2012-13,Western,60017/01,,,,,,,1,,,,1,,,,0.6931471806
2012-13,Western,60017/02,,1,,,1,,2,,1,1,,,1,,1.945910149
2012-13,Western,60017/03,,,,,,,1,,,,,,,,
2012-13,Western,60017/04,,,,,,,,,,,,,,1,
2012-13,Western,60017/05,,,,,,,1,,1,1,1,,,,1.386294361
2012-13,Western,60017/06,,,,,1,,,,,,,,,,
2012-13,Western,60017/07,,1,,,,1,,,,,,,1,,1.098612289
2012-13,Western,60017/08,1,2,,,1,,,,,,,,,,1.386294361
2012-13,Western,60017/09,,,,4,1,1,,,,,,,,,1.791759469
2012-13,Western,60017/10,2,2,1,,,1,,1,1,,,,1,,2.197224577
2012-13,Western,60017/11,,,,,,,2,,,,,,1,,1.098612289
2012-13,Western,60017/12,,,,,1,,,1,,,,1,,,1.098612289
2012-13,Western,60017/13,1,,,,,1,1,,2,,,,1,,1.791759469
2012-13,Western,60017/14,,,,,,1,,,,,,,,1,0.6931471806
2012-13,Western,60017/15,,,,,,,1,,,,,,,,
2012-13,Western,60018/01,,,2,,,,1,,1,,,,,,1.386294361
2012-13,Western,60018/02,1,1,,,1,,,,,,,,1,,1.386294361
2012-13,Western,60018/03,,,1,1,,1,,,1,,,,1,,1.609437912
2012-13,Western,60018/04,,,,,2,,1,,,,2,4,1,2,2.48490665
2012-13,Western,60018/05,,,2,,1,1,1,,,1,1,1,1,,2.197224577
2012-13,Western,60018/06,1,,,,1,,,,,,,,,,0.6931471806
2012-13,Western,60018/07,,,1,1,,1,1,,,,,,,,1.386294361
2012-13,Western,60018/08,,,,,,,,,,,,,,1,
2012-13,Western,60018/09,1,1,1,,,1,,,,,,,,1,1.609437912
2012-13,Western,60018/10,,,,,,,,,,,,,,1,
2012-13,Western,60018/11,,,,,1,1,,,,1,1,,,,1.386294361
2012-13,Western,60018/12,,2,,,2,1,,,,,,,,,1.609437912
2012-13,Western,60018/13,,,,,,,,,,,,1,,,
2012-13,Western,60018/14,,,1,,1,,,,2,,,,1,,1.609437912
2012-13,Western,60018/15,,,2,,,1,,1,,,1,,1,,1.791759469
2012-13,Western,60019/01,,,,,,1,,,,,1,1,,,1.098612289
2012-13,Western,60019/02,,,,,1,,,,,2,,,1,,1.386294361
2012-13,Western,60019/03,,,1,1,1,1,,,,2,,,,,1.791759469
2012-13,Western,60019/04,,2,,1,,1,,,,1,,,,1,1.791759469
2012-13,Western,60019/05,,,,,,,,,,,,1,,,
2012-13,Western,60019/06,1,,,,1,1,,,1,,1,,,,1.609437912
2012-13,Western,60019/07,,,,,,,,,,,,,1,,
2012-13,Western,60019/09,,,1,,1,1,,,1,,,1,,,1.609437912
2012-13,Western,60019/10,,,,,,,,,,,,,1,,
2012-13,Western,60019/11,,,,,1,,,,,,,,,,
2012-13,Western,60019/12,,,,,,1,,,2,1,,,1,,1.609437912
2012-13,Western,60019/13,,,,,,,,,,,,,1,,
2012-13,Western,60019/14,,,,1,,1,,,,,,1,,,1.098612289
2012-13,Western,60019/15,,,,,,,,,2,,,,1,,1.098612289
2012-13,Western,60020/01,,,,,1,,,1,,,,,1,,1.098612289
2012-13,Western,60020/02,,,,,,,,,,,,1,,,
2012-13,Western,60020/03,,1,1,,,,1,,1,,1,,,1,1.791759469
2012-13,Western,60020/04,,1,3,,1,1,,1,2,,,,1,,2.302585093
2012-13,Western,60020/05,,,,,,,,,,,,1,,,
2012-13,Western,60020/06,,,,,1,,,,,,,,,,
2012-13,Western,60020/07,,2,,,1,,,,,1,,1,,,1.609437912
2012-13,Western,60020/08,,,,,1,,,,,,,,,,
2012-13,Western,60020/09,1,1,,,1,,1,,1,,,,1,,1.791759469
2012-13,Western,60020/10,,,,,,,,,,,,1,,,
2012-13,Western,60020/11,1,1,,1,3,1,1,,,1,,,,,2.197224577
2012-13,Western,60020/12,,,,1,3,,1,,,,,1,,1,1.945910149
2012-13,Western,60020/13,,1,2,1,,,1,,1,,2,,,,2.079441542
2012-13,Western,60020/14,,1,1,2,,1,,1,,,,1,,,1.945910149
2012-13,Western,60020/15,,,,2,,1,,,1,,,,,,1.386294361
2012-13,Western,60021/01,,,,,,,1,,,,,,,1,0.6931471806
2012-13,Western,60021/02,1,,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60021/03,1,,1,1,,1,,,1,,,,1,,1.791759469
2012-13,Western,60021/04,,,,,,,,,,,,,1,,
2012-13,Western,60021/05,,,,,,,,,,,1,,,,
2012-13,Western,60021/06,,,,,,1,,,,1,2,,1,,1.609437912
2012-13,Western,60021/07,,,,,1,,,2,1,1,,1,,,1.791759469
2012-13,Western,60021/08,,,,,,,,,,,,1,,,
2012-13,Western,60021/09,,,,1,,1,,,,,1,1,1,,1.609437912
2012-13,Western,60021/10,,,,,,1,,,,,,,,1,0.6931471806
2012-13,Western,60021/11,,,,,,,,,,,,,1,,
2012-13,Western,60021/12,,,,,,,,,,,,1,,,
2012-13,Western,60021/13,,,,,,,,,,,,,1,,
2012-13,Western,60021/14,,,,,,1,,,,,,,,,
2012-13,Western,60021/15,,,,,,1,,,,,,,,,
2012-13,Western,60022/01,,,,,1,,,1,,,,1,,,1.098612289
2012-13,Western,60022/02,,,,,,,,,,,,,1,,
2012-13,Western,60022/04,,,,,1,,,1,,,,,1,,1.098612289
2012-13,Western,60022/05,,1,,1,,1,,,1,1,1,,,1,1.945910149
2012-13,Western,60022/06,,,,1,,,,,,1,,1,,1,1.386294361
2012-13,Western,60022/07,,,,1,,1,,,1,1,,,1,,1.609437912
2012-13,Western,60022/08,,,,,,,,,,,,,,1,
2012-13,Western,60022/09,,,,,,,,,,,,,1,,
2012-13,Western,60022/10,,,,,,,,,,,,4,,,1.386294361
2012-13,Western,60022/11,,,,1,1,1,,,1,,,,,,1.386294361
2012-13,Western,60022/12,,,,,1,,,,,,,,1,,0.6931471806
2012-13,Western,60022/13,,,,,,,,,,,,,1,,
2012-13,Western,60022/14,,,,,2,,,,,,,,,,0.6931471806
2012-13,Western,60022/15,,,,,1,,,,,,,,,,
2012-13,Western,60023/01,,1,1,,,1,,,,,1,,,1,1.609437912
2012-13,Western,60023/02,,,,1,1,1,,,,1,,,1,,1.609437912
2012-13,Western,60023/03,,,,,,,,,,,,1,,,
2012-13,Western,60023/04,,,,,,,1,,,,,,,,
2012-13,Western,60023/05,,,,1,,1,1,,,,,,1,,1.386294361
2012-13,Western,60023/06,1,1,,,,,1,,,,2,,,1,1.791759469
2012-13,Western,60023/07,,,,,,,,,,,,,,1,
2012-13,Western,60023/09,,,,,,1,,,3,,,,1,,1.609437912
2012-13,Western,60023/10,,,,,,1,,,,,,1,,,0.6931471806
2012-13,Western,60023/11,,,,,,,,,,,,1,,,
2012-13,Western,60023/12,,,1,,,1,,,1,,1,,,1,1.609437912
2012-13,Western,60023/13,,,1,1,,1,,,,,,,1,,1.386294361
2012-13,Western,60023/14,,,,,,1,,,1,1,1,,1,,1.609437912
2012-13,Western,60023/15,,,,,,,1,,,,,,,,
2012-13,Western,60024/01,,2,,,1,,,1,,,,,1,,1.609437912
2012-13,Western,60024/02,,,,,,,,,,,,1,,,
2012-13,Western,60024/04,,,,,,,,,,,,1,,,
2012-13,Western,60024/05,,,,,1,,,,1,,,,1,,1.098612289
2012-13,Western,60024/06,,,,,2,,1,,,,1,2,,,1.791759469
2012-13,Western,60024/07,1,,,,,1,,1,,1,,,1,,1.609437912
2012-13,Western,60024/08,,,,,,1,,,,1,1,,,1,1.386294361
2012-13,Western,60024/09,,1,,,,1,,,,,,,1,,1.098612289
2012-13,Western,60024/10,,1,1,,,1,,,1,,,,1,,1.609437912
2012-13,Western,60024/11,,,,,,1,,1,2,,,,1,,1.609437912
2012-13,Western,60024/12,,1,,,1,,,,,,,1,,,1.098612289
2012-13,Western,60024/13,,1,,,,1,,,2,1,1,,,1,1.945910149
2012-13,Western,60024/15,,,,,,,,,1,,,,1,,0.6931471806
2012-13,Western,60025/01,1,1,1,,1,,,,,,,,1,,1.609437912
2012-13,Western,60025/02,,1,,,,1,,,2,1,,,1,,1.791759469
2012-13,Western,60025/03,,,,,,,,,,,,1,,,
2012-13,Western,60025/04,,,,,,1,,,,,,,,,
2012-13,Western,60025/05,,1,,,1,,,1,,,,,1,,1.386294361
2012-13,Western,60025/06,,,,,,,,,,,,,1,,
2012-13,Western,60025/07,,,,,,,,,,,,1,,,
2012-13,Western,60025/08,,,1,,1,,1,,,,1,1,1,1,1.945910149
2012-13,Western,60025/09,,,,,,1,,,1,,,1,,1,1.386294361
2012-13,Western,60025/10,,,,,1,,,,,,,,,,
2012-13,Western,60025/11,,,,,,,,,,,,2,,,0.6931471806
2012-13,Western,60025/12,,,,,1,1,,,,,,,,,0.6931471806
2012-13,Western,60025/13,,,,,,,,,,,,1,,,
2012-13,Western,60025/14,1,,,,1,,,1,,,,,1,,1.386294361
2012-13,Western,60025/15,,,,,,,,,,,,2,,,0.6931471806
2012-13,Western,60026/01,1,,,,1,,,,1,,,,1,,1.386294361
2012-13,Western,60026/02,,,,,,1,1,,2,,,,,,1.386294361
2012-13,Western,60026/03,,,,,,,,,,,,,1,,
2012-13,Western,60026/04,,,,,,,,,,,,,1,,
2012-13,Western,60026/05,,,,,,,,,,,,,,1,
2012-13,Western,60026/06,,,,,,1,,,,,,,,,
2012-13,Western,60026/07,,,,,,1,,1,1,,,,1,,1.386294361
2012-13,Western,60026/08,,,,1,,1,,1,,,,,1,,1.386294361
2012-13,Western,60026/09,,1,,,1,,,,1,,,2,1,,1.791759469
2012-13,Western,60026/10,,,1,,1,1,,1,,,,,1,,1.609437912
2012-13,Western,60026/11,,,,,,,,,,,,1,,,
2012-13,Western,60026/12,,,,,1,,1,,,1,1,,,1,1.609437912
2012-13,Western,60026/13,,,,,2,1,,,,,,1,,1,1.609437912
2012-13,Western,60026/14,1,,,,1,1,,,,,1,1,1,,1.791759469
2012-13,Western,60027/01,1,1,,,,1,,,1,,,,1,,1.609437912
2012-13,Western,60027/02,,,,,1,1,1,,,1,,1,,,1.609437912
2012-13,Western,60027/03,2,,,,2,,,,,,,,1,,1.609437912
2012-13,Western,60027/04,,,,,,,,,,,,1,,,
2012-13,Western,60027/05,1,,,,1,,,,1,,,,1,,1.386294361
2012-13,Western,60027/06,,,,,,,,,,,,1,,,
2012-13,Western,60027/07,1,,1,,,1,,,,,,,,,1.098612289
2012-13,Western,60027/08,,,1,1,,1,,,,,,,,,1.098612289
2012-13,Western,60027/09,,,,,,,,,,,,1,,,
2012-13,Western,60027/10,1,,,,1,,,,,,,,1,,1.098612289
