t,m,j,u,Price
2016-17,Greater Accra,Tomato (paste),Margarin tin,3.5
2016-17,Greater Accra,Tomato (paste),Mini bag,0.7
2016-17,Greater Accra,Tomato (paste),Packet,4.133333333
2016-17,Greater Accra,Tomato (paste),Piece,1.955555556
2016-17,Greater Accra,Tomato (paste),Rolls,7.333333333
2016-17,Greater Accra,Tomato (paste),Satchet,1.446674057
2016-17,Greater Accra,Tomato (paste),Set,0.6
2016-17,Greater Accra,Tomato (paste),Single,1.877455951
2016-17,Greater Accra,Tomato (paste),Tin,2.763889475
2016-17,Greater Accra,Tuna (processed),Box/Carton,68
2016-17,Greater Accra,Tuna (processed),Heap,2
2016-17,Greater Accra,Tuna (processed),Piece,2
2016-17,Greater Accra,Tuna (processed),Single,3.8125
2016-17,Greater Accra,Tuna (processed),Tin,4.199342105
2016-17,Greater Accra,Vinegar,Heap,1
2016-17,Greater Accra,Vinegar,Litres,6
2016-17,Greater Accra,Vinegar,Single,4.166666667
2016-17,Greater Accra,Water,1000 kg /metric tonnes/tonnes,0.1458333333
2016-17,Greater Accra,Water,Balls,3
2016-17,Greater Accra,Water,Bar,0.3333333333
2016-17,Greater Accra,Water,Beer bottle,1.945238095
2016-17,Greater Accra,Water,Box/Carton,18.90015235
2016-17,Greater Accra,Water,Fanta bottle,2
2016-17,Greater Accra,Water,Heap,1.857575758
2016-17,Greater Accra,Water,Litres,3.440897436
2016-17,Greater Accra,Water,Margarin tin,1.533333333
2016-17,Greater Accra,Water,Maxi bag,0.08
2016-17,Greater Accra,Water,Millilitre,0.001333333333
2016-17,Greater Accra,Water,Mini bag,2.847692056
2016-17,Greater Accra,Water,Other unit,3.037920275
2016-17,Greater Accra,Water,Packet,2.961752272
2016-17,Greater Accra,Water,Piece,0.5694891174
2016-17,Greater Accra,Water,Satchet,0.3342159816
2016-17,Greater Accra,Water,Set,1.814285714
2016-17,Greater Accra,Water,Single,0.9600422453
2016-17,Greater Accra,Water,Tin,7.25
2016-17,Greater Accra,Water Yam,Single,5
2016-17,Greater Accra,Water Yam,Tubers,5.037878788
2016-17,Greater Accra,Watermelon,Balls,4
2016-17,Greater Accra,Watermelon,Heap,2.142857143
2016-17,Greater Accra,Watermelon,Other unit,1.67349537
2016-17,Greater Accra,Watermelon,Piece,1.863402304
2016-17,Greater Accra,Watermelon,Single,5.08191126
2016-17,Greater Accra,Wheat Flour,American Tin (Olonka),12.5
2016-17,Greater Accra,Wheat Flour,Kilogram,6
2016-17,Greater Accra,Wheat Flour,Margarin tin,6.264705882
2016-17,Greater Accra,Wheat Flour,Other unit,1.714285714
2016-17,Greater Accra,Wheat Flour,Packet,5.12
2016-17,Greater Accra,Whisky,Single,39.25
2016-17,Greater Accra,Whisky,Tot (25mls),1
2016-17,Greater Accra,White Oats,Box/Carton,30
2016-17,Greater Accra,White Oats,Margarin tin,1.85
2016-17,Greater Accra,White Oats,Packet,6.021480331
2016-17,Greater Accra,White Oats,Plate (food),4.625
2016-17,Greater Accra,White Oats,Satchet,6.090625
2016-17,Greater Accra,White Oats,Single,3
2016-17,Greater Accra,White Oats,Tin,7.5
2016-17,Greater Accra,Wine,Beer bottle,5.222222222
2016-17,Greater Accra,Wine,Fanta bottle,1
2016-17,Greater Accra,Wine,Litres,2.333333333
2016-17,Greater Accra,Wine,Millilitre,0.002
2016-17,Greater Accra,Wine,Other unit,36
2016-17,Greater Accra,Wine,Satchet,0.6
2016-17,Greater Accra,Wine,Single,54.08333333
2016-17,Greater Accra,Yam,Heap,8.746376812
2016-17,Greater Accra,Yam,Piece,5.083333333
2016-17,Greater Accra,Yam,Single,5.76119403
2016-17,Greater Accra,Yam,Tubers,6.294708437
2016-17,Greater Accra,Yam,Yards,12
2016-17,Greater Accra,Yoghurt,Balls,2
2016-17,Greater Accra,Yoghurt,Bowl,9.8
2016-17,Greater Accra,Yoghurt,Box/Carton,17
2016-17,Greater Accra,Yoghurt,Fanta bottle,1
2016-17,Greater Accra,Yoghurt,Fingers,1
2016-17,Greater Accra,Yoghurt,Millilitre,1
2016-17,Greater Accra,Yoghurt,Other unit,6
2016-17,Greater Accra,Yoghurt,Packet,0.975
2016-17,Greater Accra,Yoghurt,Piece,1.064427861
2016-17,Greater Accra,Yoghurt,Pot,1.5
2016-17,Greater Accra,Yoghurt,Satchet,1.161658698
2016-17,Greater Accra,Yoghurt,Single,1.143298432
2016-17,Greater Accra,Yoghurt,Tin,1.25
2016-17,Northern,Agushie Seed,American Tin (Olonka),8.944444444
2016-17,Northern,Agushie Seed,Balls,1
2016-17,Northern,Agushie Seed,Bowl,9.006613757
2016-17,Northern,Agushie Seed,Bundle,1.742222222
2016-17,Northern,Agushie Seed,Heap,1.727272727
2016-17,Northern,Agushie Seed,Margarin tin,1.666666667
2016-17,Northern,Agushie Seed,Mini bag,0.75
2016-17,Northern,Agushie Seed,Other unit,1.1775
2016-17,Northern,Agushie Seed,Pound,1.75
2016-17,Northern,Agushie Seed,Satchet,1
2016-17,Northern,Akpeteshie,Beer bottle,6.514196376
2016-17,Northern,Akpeteshie,Bowl,7
2016-17,Northern,Akpeteshie,Box/Carton,8
2016-17,Northern,Akpeteshie,Fanta bottle,3.307692308
2016-17,Northern,Akpeteshie,Litres,4.708333333
2016-17,Northern,Akpeteshie,Other unit,13.76879599
2016-17,Northern,Akpeteshie,Single,1
2016-17,Northern,Akpeteshie,Tot (25mls),0.8625557245
2016-17,Northern,Apple,Bundle,15.83333333
2016-17,Northern,Apple,Piece,1.666666667
2016-17,Northern,Apple,Single,1.9375
2016-17,Northern,Avocado,Balls,1.14
2016-17,Northern,Avocado,Heap,1.666666667
2016-17,Northern,Avocado,Piece,0.75
2016-17,Northern,Avocado,Single,2.3
2016-17,Northern,Bambara Bean,American Tin (Olonka),6.831060606
2016-17,Northern,Bambara Bean,Bowl,5.95588565
2016-17,Northern,Bambara Bean,Margarin tin,1.95
2016-17,Northern,Banana,Bunch,3.164893617
2016-17,Northern,Banana,Bundle,10
2016-17,Northern,Banana,Fingers,0.4968652222
2016-17,Northern,Banana,Heap,0.9
2016-17,Northern,Banana,Other unit,0.2
2016-17,Northern,Banana,Piece,0.3534391534
2016-17,Northern,Banana,Single,0.3849053524
2016-17,Northern,Beef,Heap,5.462854095
2016-17,Northern,Beef,Kilogram,8.948275862
2016-17,Northern,Beef,Other unit,289.1428571
2016-17,Northern,Beef,Piece,9.2
2016-17,Northern,Beef,Pound,6.043276801
2016-17,Northern,Beef,Single,842
2016-17,Northern,Beef (corned),Single,5.5
2016-17,Northern,Beef (corned),Tin,4.5
2016-17,Northern,Beef (face),Pound,24.41666667
2016-17,Northern,Beef (face),Single,45
2016-17,Northern,Beef (leg),Heap,10.46428571
2016-17,Northern,Beef (leg),Piece,15
2016-17,Northern,Beef (leg),Pound,4.616666667
2016-17,Northern,Beef (leg),Single,5.821428571
2016-17,Northern,Beef (offal),Bowl,7.5
2016-17,Northern,Beef (offal),Heap,2.975
2016-17,Northern,Beef (offal),Piece,2.266666667
2016-17,Northern,Beef (offal),Pound,6.25
2016-17,Northern,Beef (offal),Single,0.8
2016-17,Northern,Beef (steak),Heap,4.650659189
2016-17,Northern,Beef (steak),Other unit,3.228163265
2016-17,Northern,Beef (steak),Piece,5.608293076
2016-17,Northern,Beef (steak),Pound,6.185007543
2016-17,Northern,Beer,American Tin (Olonka),0.03571428571
2016-17,Northern,Beer,Balls,0.5
2016-17,Northern,Beer,Beer bottle,2.480844927
2016-17,Northern,Beer,Bowl,1.861111111
2016-17,Northern,Beer,Crate,40
2016-17,Northern,Beer,Fanta bottle,0.9325396825
2016-17,Northern,Beer,Litres,1.278025344
2016-17,Northern,Beer,Other unit,2.010083837
2016-17,Northern,Beer,Piece,4.184010025
2016-17,Northern,Beer,Pot,1
2016-17,Northern,Beer,Satchet,1.5
2016-17,Northern,Beer,Single,4.566067019
2016-17,Northern,Biscuit,Packet,1.127539246
2016-17,Northern,Biscuit,Piece,1.18
2016-17,Northern,Biscuit,Satchet,0.8375747778
2016-17,Northern,Biscuit,Single,1.160688259
2016-17,Northern,Bitters,Other unit,1
2016-17,Northern,Bitters,Packet,5.375
2016-17,Northern,Bitters,Piece,0.48
2016-17,Northern,Bitters,Satchet,0.4657747296
2016-17,Northern,Bitters,Single,5.5
2016-17,Northern,Bitters,Tot (25mls),1.34
2016-17,Northern,Bread,Loaf,1.501277101
2016-17,Northern,Bread,Piece,0.3125
2016-17,Northern,Cabbage,Bowl,6.666666667
2016-17,Northern,Cabbage,Heap,1
2016-17,Northern,Canned Fruits,Other unit,2.5
2016-17,Northern,Canned Fruits,Packet,50
2016-17,Northern,Canned Fruits,Single,1.530612245
2016-17,Northern,Carrot,Bunch,2
2016-17,Northern,Carrot,Bundle,2.6
2016-17,Northern,Carrot,Fingers,0.6136363636
2016-17,Northern,Carrot,Heap,2.325
2016-17,Northern,Carrot,Piece,0.4024623525
2016-17,Northern,Carrot,Single,0.5833333333
2016-17,Northern,Cashew,Piece,0.05769444444
2016-17,Northern,Cassava (dough),American Tin (Olonka),4
2016-17,Northern,Cassava (dough),Balls,6.623950645
2016-17,Northern,Cassava (dough),Basket,12.19444444
2016-17,Northern,Cassava (dough),Bowl,7.255948822
2016-17,Northern,Cassava (dough),Heap,3.869047619
2016-17,Northern,Cassava (dough),Margarin tin,10.7
2016-17,Northern,Cassava (dough),Other unit,11.35714286
2016-17,Northern,Cassava (dried),American Tin (Olonka),8.4
2016-17,Northern,Cassava (dried),Bowl,9.1284268
2016-17,Northern,Cassava (dried),Heap,21.105451
2016-17,Northern,Cassava (dried),Margarin tin,6.520616942
2016-17,Northern,Cassava (fresh),American Tin (Olonka),4
2016-17,Northern,Cassava (fresh),Basket,12.41666667
2016-17,Northern,Cassava (fresh),Bowl,8.25
2016-17,Northern,Cassava (fresh),Bundle,15
2016-17,Northern,Cassava (fresh),Heap,8.979646047
2016-17,Northern,Cassava (fresh),Maxi bag,10
2016-17,Northern,Cassava (fresh),Mini bag,100
2016-17,Northern,Cassava (fresh),Single,70.625
2016-17,Northern,Cassava (fresh),Tubers,1.949874687
2016-17,Northern,"Cassava (white, flour)",American Tin (Olonka),5.119365079
2016-17,Northern,"Cassava (white, flour)",Bowl,6.117811291
2016-17,Northern,"Cassava (white, flour)",Heap,3.450924287
2016-17,Northern,"Cassava (white, flour)",Margarin tin,3.191940476
2016-17,Northern,"Cassava (yellow, flour)",American Tin (Olonka),5.3125
2016-17,Northern,"Cassava (yellow, flour)",Bowl,5.125
2016-17,Northern,"Cassava (yellow, flour)",Heap,2.077777778
2016-17,Northern,"Cassava (yellow, flour)",Margarin tin,2.9
2016-17,Northern,Cerelac (Baby food),Bowl,9
2016-17,Northern,Cerelac (Baby food),Gram,16
2016-17,Northern,Cerelac (Baby food),Heap,2
2016-17,Northern,Cerelac (Baby food),Other unit,2.985714286
2016-17,Northern,Cerelac (Baby food),Packet,3.7
2016-17,Northern,Cerelac (Baby food),Satchet,4.875
2016-17,Northern,Cerelac (Baby food),Tin,10.03513889
2016-17,Northern,Chewing Gum,Balls,0.075
2016-17,Northern,Chewing Gum,Bundle,1
2016-17,Northern,Chewing Gum,Other unit,2.79375
2016-17,Northern,Chewing Gum,Packet,2.6625
2016-17,Northern,Chewing Gum,Piece,0.2043669872
2016-17,Northern,Chewing Gum,Pound,0.8
2016-17,Northern,Chewing Gum,Satchet,3.5
2016-17,Northern,Chewing Gum,Single,0.1970804009
2016-17,Northern,Chewing Gum,Tin,6
2016-17,Northern,Chicken (breast),Heap,3.474285714
2016-17,Northern,Chicken (breast),Other unit,3.242424242
2016-17,Northern,Chicken (breast),Piece,1.210784314
2016-17,Northern,Chicken (breast),Single,3.5
2016-17,Northern,Chicken (broiler),Kilogram,9.333333333
2016-17,Northern,Chicken (broiler),Other unit,1.055555556
2016-17,Northern,Chicken (broiler),Piece,1.94047619
2016-17,Northern,Chicken (broiler),Pound,12
2016-17,Northern,Chicken (broiler),Single,8.5
2016-17,Northern,Chicken (frozen),Heap,5.733333333
2016-17,Northern,Chicken (frozen),Other unit,3.5
2016-17,Northern,Chicken (frozen),Piece,2.218944992
2016-17,Northern,Chicken (frozen),Pound,6
2016-17,Northern,Chicken (gizzard),Packet,11
2016-17,Northern,Chicken (live),American Tin (Olonka),15
2016-17,Northern,Chicken (live),Other unit,22.5
2016-17,Northern,Chicken (live),Piece,20.625
2016-17,Northern,Chicken (live),Single,16.96464248
2016-17,Northern,Chicken (thigh),Box/Carton,54.83333333
2016-17,Northern,Chicken (thigh),Heap,8.857142857
2016-17,Northern,Chicken (thigh),Kilogram,11.45238095
2016-17,Northern,Chicken (thigh),Other unit,1.833333333
2016-17,Northern,Chicken (thigh),Piece,3.939583333
2016-17,Northern,Chicken (thigh),Pound,10.77777778
2016-17,Northern,Chicken (thigh),Single,2.861111111
2016-17,Northern,Chicken (wing),Heap,7.5
2016-17,Northern,Chicken (wing),Kilogram,13.14285714
2016-17,Northern,Chicken (wing),Other unit,1.75
2016-17,Northern,Chicken (wing),Piece,3.018518519
2016-17,Northern,Chicken (wing),Single,2
2016-17,Northern,Chilli Powder (black pepper),Heap,0.8166666667
2016-17,Northern,Chilli Powder (black pepper),Packet,3
2016-17,Northern,Chilli Powder (black pepper),Piece,3
2016-17,Northern,Chilli Powder (black pepper),Satchet,1
2016-17,Northern,Chocolate,Piece,0.2
2016-17,Northern,Chocolate,Single,5
2016-17,Northern,Cigarette,Balls,2
2016-17,Northern,Cigarette,Box/Carton,2.5
2016-17,Northern,Cigarette,Bundle,10
2016-17,Northern,Cigarette,Other unit,1.25
2016-17,Northern,Cigarette,Packet,2.535494309
2016-17,Northern,Cigarette,Piece,0.1918498205
2016-17,Northern,Cigarette,Satchet,1.733333333
2016-17,Northern,Cigarette,Set,1
2016-17,Northern,Cigarette,Single,0.2457005954
2016-17,Northern,Cigarette,Stick,0.2378229291
2016-17,Northern,Cocoa (milk powder beverages),Box/Carton,25
2016-17,Northern,Cocoa (milk powder beverages),Bundle,0.4088452088
2016-17,Northern,Cocoa (milk powder beverages),Gram,0.02678571429
2016-17,Northern,Cocoa (milk powder beverages),Heap,0.5840909091
2016-17,Northern,Cocoa (milk powder beverages),Other unit,0.5
2016-17,Northern,Cocoa (milk powder beverages),Packet,4.428571429
2016-17,Northern,Cocoa (milk powder beverages),Piece,0.7109090909
2016-17,Northern,Cocoa (milk powder beverages),Pound,1
2016-17,Northern,Cocoa (milk powder beverages),Satchet,1.939012718
2016-17,Northern,Cocoa (milk powder beverages),Single,1.23128655
2016-17,Northern,Cocoa (milk powder beverages),Tin,12.08333333
2016-17,Northern,Cocoa Powder,Gram,0.016
2016-17,Northern,Cocoa Powder,Set,0.01548387097
2016-17,Northern,Cocoa Powder,Single,0.25
2016-17,Northern,Cocoa Powder,Tin,13
2016-17,Northern,Coconut (dried),Piece,1
2016-17,Northern,Coconut (dried),Single,1.428571429
2016-17,Northern,Coconut (fresh),Balls,0.2
2016-17,Northern,Coconut (fresh),Piece,1.6
2016-17,Northern,Coconut (fresh),Single,2.050925926
2016-17,Northern,Cocoyam,Heap,3.4
2016-17,Northern,Cocoyam,Tubers,2.5
2016-17,Northern,Cocoyam Leaves,Basket,5
2016-17,Northern,Cocoyam Leaves,Bowl,10
2016-17,Northern,Cocoyam Leaves,Bunch,1.147108844
2016-17,Northern,Cocoyam Leaves,Bundle,1.155064643
2016-17,Northern,Cocoyam Leaves,Heap,1.268191647
2016-17,Northern,Cocoyam Leaves,Mini bag,3
2016-17,Northern,Cocoyam Leaves,Other unit,1.166666667
2016-17,Northern,Cocoyam Leaves,Packet,1.321428571
2016-17,Northern,Cocoyam Leaves,Piece,0.8333333333
2016-17,Northern,Cocoyam Leaves,Set,1
2016-17,Northern,Cocoyam Leaves,Tin,7
2016-17,Northern,Coffee,Box/Carton,6.857142857
2016-17,Northern,Coffee,Bundle,1
2016-17,Northern,Coffee,Heap,1.8
2016-17,Northern,Coffee,Other unit,1.202934103
2016-17,Northern,Coffee,Packet,4.5
2016-17,Northern,Coffee,Piece,0.9953703704
2016-17,Northern,Coffee,Satchet,1.573333333
2016-17,Northern,Coffee,Single,0.67
2016-17,Northern,Coffee,Tin,3
2016-17,Northern,Condiments,American Tin (Olonka),5.5
2016-17,Northern,Condiments,Balls,0.1833333333
2016-17,Northern,Condiments,Beer bottle,2.5
2016-17,Northern,Condiments,Blister / Strip,0.1666666667
2016-17,Northern,Condiments,Bowl,8
2016-17,Northern,Condiments,Box/Carton,7.583333333
2016-17,Northern,Condiments,Bunch,5
2016-17,Northern,Condiments,Bundle,2.238565657
2016-17,Northern,Condiments,Dozen,2.5
2016-17,Northern,Condiments,Heap,0.6255544259
2016-17,Northern,Condiments,Litres,3
2016-17,Northern,Condiments,Margarin tin,7
2016-17,Northern,Condiments,Millilitre,0.1666666667
2016-17,Northern,Condiments,Other unit,0.6613229362
2016-17,Northern,Condiments,Packet,6.92237475
2016-17,Northern,Condiments,Piece,0.2108930199
2016-17,Northern,Condiments,Pot,0.5
2016-17,Northern,Condiments,Satchet,4.383333333
2016-17,Northern,Condiments,Set,0.5054934581
2016-17,Northern,Condiments,Single,0.2784240753
2016-17,Northern,Condiments,Tin,0.3
2016-17,Northern,Corflake,Box/Carton,25
2016-17,Northern,Cowpea,American Tin (Olonka),8.463084057
2016-17,Northern,Cowpea,Balls,2
2016-17,Northern,Cowpea,Beer bottle,10
2016-17,Northern,Cowpea,Bowl,6.790845997
2016-17,Northern,Cowpea,Bundle,1.896825397
2016-17,Northern,Cowpea,Gram,1.437267081
2016-17,Northern,Cowpea,Heap,2.209242424
2016-17,Northern,Cowpea,Litres,8
2016-17,Northern,Cowpea,Margarin tin,2.471256039
2016-17,Northern,Cowpea,Mini bag,121.75
2016-17,Northern,Cowpea,Other unit,1.461538462
2016-17,Northern,Cowpea,Piece,1.928571429
2016-17,Northern,Cowpea,Satchet,1
2016-17,Northern,Cowpea,Set,2
2016-17,Northern,Crab,Other unit,5
2016-17,Northern,Curry Power,Bundle,2.75
2016-17,Northern,Curry Power,Packet,3
2016-17,Northern,Curry Power,Piece,0.5555555556
2016-17,Northern,Curry Power,Satchet,0.4751515152
2016-17,Northern,Curry Power,Single,0.5
2016-17,Northern,Dawadawa,American Tin (Olonka),4.053571429
2016-17,Northern,Dawadawa,Balls,1.586175843
2016-17,Northern,Dawadawa,Bar,1
2016-17,Northern,Dawadawa,Bowl,6.212962963
2016-17,Northern,Dawadawa,Bunch,1.25
2016-17,Northern,Dawadawa,Bundle,2.0585097
2016-17,Northern,Dawadawa,Heap,1.315656566
2016-17,Northern,Dawadawa,Maxi bag,0.2
2016-17,Northern,Dawadawa,Other unit,1
2016-17,Northern,Dawadawa,Packet,2
2016-17,Northern,Dawadawa,Piece,0.8938540298
2016-17,Northern,Dawadawa,Pound,1
2016-17,Northern,Dawadawa,Satchet,1
2016-17,Northern,Dawadawa,Set,1.25
2016-17,Northern,Dawadawa,Single,0.9774703557
2016-17,Northern,Eggplant,American Tin (Olonka),5
2016-17,Northern,Eggplant,Bowl,5.402380952
2016-17,Northern,Eggplant,Bucket,20
2016-17,Northern,Eggplant,Bundle,1.866666667
2016-17,Northern,Eggplant,Heap,1.286982402
2016-17,Northern,Eggplant,Margarin tin,1
2016-17,Northern,Eggplant,Other unit,2.125
2016-17,Northern,Eggplant,Piece,0.2166666667
2016-17,Northern,Eggplant,Single,0.2884920635
2016-17,Northern,Eggplant Leaf,Heap,0.5500000119
2016-17,Northern,Eggs,Balls,0.6944444444
2016-17,Northern,Eggs,Beer bottle,5
2016-17,Northern,Eggs,Crate,17.99351852
2016-17,Northern,Eggs,Litres,0.5
2016-17,Northern,Eggs,Piece,0.6461155985
2016-17,Northern,Eggs,Single,1.030683634
2016-17,Northern,Fish (canned),Other unit,3
2016-17,Northern,Fish (canned),Piece,2.806818182
2016-17,Northern,Fish (canned),Single,3.345394737
2016-17,Northern,Fish (canned),Tin,2.787407407
2016-17,Northern,Fish (dried),Bowl,2.5
2016-17,Northern,Fish (dried),Piece,0.90625
2016-17,Northern,Fish (dried),Single,5.784090909
2016-17,Northern,Fish (fried),Bowl,20.75
2016-17,Northern,Fish (fried),Box/Carton,18
2016-17,Northern,Fish (fried),Bundle,3.5
2016-17,Northern,Fish (fried),Fingers,3
2016-17,Northern,Fish (fried),Heap,3.820015798
2016-17,Northern,Fish (fried),Kilogram,13.33333333
2016-17,Northern,Fish (fried),Other unit,2.041666667
2016-17,Northern,Fish (fried),Piece,1.554350266
2016-17,Northern,Fish (fried),Pound,5
2016-17,Northern,Fish (fried),Satchet,2
2016-17,Northern,Fish (fried),Single,1.678139989
2016-17,Northern,Fish (fried),Tubers,5
2016-17,Northern,Fish (salted),Heap,6
2016-17,Northern,Fish (salted),Piece,1.083333333
2016-17,Northern,Fish (salted),Single,1.375
2016-17,Northern,"Fish (smoked, river)",American Tin (Olonka),9.805026455
2016-17,Northern,"Fish (smoked, river)",Bowl,13.88109217
2016-17,Northern,"Fish (smoked, river)",Box/Carton,8
2016-17,Northern,"Fish (smoked, river)",Bundle,4.333333333
2016-17,Northern,"Fish (smoked, river)",Fingers,3.072916667
2016-17,Northern,"Fish (smoked, river)",Heap,5.267251115
2016-17,Northern,"Fish (smoked, river)",Kilogram,7.472985348
2016-17,Northern,"Fish (smoked, river)",Margarin tin,5
2016-17,Northern,"Fish (smoked, river)",Mini bag,7.5
2016-17,Northern,"Fish (smoked, river)",Other unit,3.826944507
2016-17,Northern,"Fish (smoked, river)",Piece,2.079968262
2016-17,Northern,"Fish (smoked, river)",Pound,5.625
2016-17,Northern,"Fish (smoked, river)",Satchet,2.428571429
2016-17,Northern,"Fish (smoked, river)",Set,3.288239538
2016-17,Northern,"Fish (smoked, river)",Single,3.07132743
2016-17,Northern,"Fish (smoked, sea)",American Tin (Olonka),10.08333333
2016-17,Northern,"Fish (smoked, sea)",Bowl,15.71428571
2016-17,Northern,"Fish (smoked, sea)",Bundle,5
2016-17,Northern,"Fish (smoked, sea)",Heap,5.3125
2016-17,Northern,"Fish (smoked, sea)",Other unit,2.8
2016-17,Northern,"Fish (smoked, sea)",Piece,1.959027778
2016-17,Northern,"Fish (smoked, sea)",Set,3.133333333
2016-17,Northern,"Fish (smoked, sea)",Single,3.500091575
2016-17,Northern,Garlic,Balls,1.723082729
2016-17,Northern,Garlic,Bunch,1.345454545
2016-17,Northern,Garlic,Bundle,1.218757259
2016-17,Northern,Garlic,Heap,1.360526316
2016-17,Northern,Garlic,Maxi bag,0.5
2016-17,Northern,Garlic,Other unit,1.354220779
2016-17,Northern,Garlic,Packet,5
2016-17,Northern,Garlic,Piece,0.8039626074
2016-17,Northern,Garlic,Rolls,16
2016-17,Northern,Garlic,Satchet,0.3833333333
2016-17,Northern,Garlic,Set,1
2016-17,Northern,Garlic,Single,0.8237766831
2016-17,Northern,Gin,Beer bottle,7.5
2016-17,Northern,Gin,Bowl,0.5
2016-17,Northern,Gin,Dozen,7
2016-17,Northern,Gin,Fanta bottle,3.25
2016-17,Northern,Gin,Other unit,2.266666667
2016-17,Northern,Gin,Piece,6.5
2016-17,Northern,Gin,Satchet,2.026960784
2016-17,Northern,Gin,Single,8
2016-17,Northern,Gin,Tot (25mls),0.65
2016-17,Northern,Ginger,1000 kg /metric tonnes/tonnes,4
2016-17,Northern,Ginger,Balls,1.25
2016-17,Northern,Ginger,Bowl,10.125
2016-17,Northern,Ginger,Bucket,20
2016-17,Northern,Ginger,Bunch,1
2016-17,Northern,Ginger,Bundle,1.299064626
2016-17,Northern,Ginger,Heap,1.354724255
2016-17,Northern,Ginger,Margarin tin,1.75
2016-17,Northern,Ginger,Other unit,0.9569444444
2016-17,Northern,Ginger,Piece,0.3625182922
2016-17,Northern,Ginger,Satchet,0.8
2016-17,Northern,Ginger,Set,0.6494252874
2016-17,Northern,Ginger,Single,0.5234693878
2016-17,Northern,Ginger,Tin,1
2016-17,Northern,Goat,1000 kg /metric tonnes/tonnes,10.75
2016-17,Northern,Goat,Bowl,8.741818182
2016-17,Northern,Goat,Heap,6.491620879
2016-17,Northern,Goat,Kilogram,8.347323972
2016-17,Northern,Goat,Litres,1
2016-17,Northern,Goat,Mini bag,8.666666667
2016-17,Northern,Goat,Other unit,21.33333333
2016-17,Northern,Goat,Piece,4.177619048
2016-17,Northern,Goat,Pound,7.472783021
2016-17,Northern,Goat,Satchet,5
2016-17,Northern,Goat,Single,117.4177215
2016-17,Northern,Groundnut,American Tin (Olonka),15.55082695
2016-17,Northern,Groundnut,Balls,0.5
2016-17,Northern,Groundnut,Beer bottle,12.33333333
2016-17,Northern,Groundnut,Bowl,7.665916443
2016-17,Northern,Groundnut,Bucket,23.55555556
2016-17,Northern,Groundnut,Bundle,1.376267706
2016-17,Northern,Groundnut,Gram,0.01777777778
2016-17,Northern,Groundnut,Heap,2.334906732
2016-17,Northern,Groundnut,Margarin tin,2.403948184
2016-17,Northern,Groundnut,Maxi bag,60
2016-17,Northern,Groundnut,Mini bag,0.8983957219
2016-17,Northern,Groundnut,Other unit,1.582710493
2016-17,Northern,Groundnut,Piece,1.068452381
2016-17,Northern,Groundnut,Pound,0.5
2016-17,Northern,Groundnut,Satchet,0.9518797991
2016-17,Northern,Groundnut,Single,2
2016-17,Northern,Groundnut,Tin,1.125
2016-17,Northern,Guinea corn/sorghum,American Tin (Olonka),3.590666667
2016-17,Northern,Guinea corn/sorghum,Bowl,5.613132505
2016-17,Northern,Guineafowl,1000 kg /metric tonnes/tonnes,15
2016-17,Northern,Guineafowl,Piece,25
2016-17,Northern,Guineafowl,Single,21.80569923
2016-17,Northern,Herring (smoked),1000 kg /metric tonnes/tonnes,8
2016-17,Northern,Herring (smoked),American Tin (Olonka),29.63907363
2016-17,Northern,Herring (smoked),Bowl,13.31162791
2016-17,Northern,Herring (smoked),Bundle,2.29589372
2016-17,Northern,Herring (smoked),Heap,2.270072366
2016-17,Northern,Herring (smoked),Margarin tin,4.625970696
2016-17,Northern,Herring (smoked),Other unit,1.941942581
2016-17,Northern,Herring (smoked),Packet,10
2016-17,Northern,Herring (smoked),Piece,1.216666667
2016-17,Northern,Herring (smoked),Pound,1.5
2016-17,Northern,Herring (smoked),Satchet,2
2016-17,Northern,Herring (smoked),Single,3.775757576
2016-17,Northern,Honey,Beer bottle,15
2016-17,Northern,Honey,Fanta bottle,6.666666667
2016-17,Northern,Honey,Litres,25
2016-17,Northern,Honey,Margarin tin,5.75
2016-17,Northern,Honey,Millilitre,0.054
2016-17,Northern,Honey,Other unit,15.33333333
2016-17,Northern,Honey,Piece,2
2016-17,Northern,Honey,Single,5
2016-17,Northern,Ice Cream,Bowl,32
2016-17,Northern,Ice Cream,Piece,1.05
2016-17,Northern,Ice Cream,Satchet,1.066666667
2016-17,Northern,Ice Cream,Single,0.9975
2016-17,Northern,Instant Noodle,Box/Carton,32
2016-17,Northern,Instant Noodle,Packet,1.566666667
2016-17,Northern,Instant Noodle,Satchet,5
2016-17,Northern,Instant Noodle,Single,5.8
2016-17,Northern,Juice,Box/Carton,7
2016-17,Northern,Juice,Fanta bottle,1.56
2016-17,Northern,Juice,Litres,11.5
2016-17,Northern,Juice,Millilitre,5.75
2016-17,Northern,Juice,Packet,6.936904762
2016-17,Northern,Juice,Piece,2.812
2016-17,Northern,Juice,Satchet,0.5
2016-17,Northern,Juice,Single,4.122006173
2016-17,Northern,Jute Leaf,Bowl,2.120996732
2016-17,Northern,Jute Leaf,Bundle,1.973529412
2016-17,Northern,Jute Leaf,Heap,1.251428571
2016-17,Northern,Kapla,American Tin (Olonka),22.5
2016-17,Northern,Kapla,Bowl,9.144458281
2016-17,Northern,Kapla,Fingers,1.319444444
2016-17,Northern,Kapla,Heap,5.090909091
