i,t,m,Energy,Protein,Fiber,Folate,Calcium,Carbohydrate,Iron,Niacin,Riboflavin,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Zinc,Magnesium,Phosphorus,Potassium,Vitamin E,Vitamin K
2113000708,2011-12,Eastern,2.024348640221779,4.348308481200909,2.388144464052268,2.6706670014954517,0.6712708072462531,3.6694262278329477,1.9335365755949632,2.744168466011241,2.132699656851757,2.836936886422149,1.2019967114267418,3.8142255981036333,4.542338328510234,4.051957755208332,1.9250983013347098,0.00038647654996330414,7.697458256530539e-05,0.0002889607444883302,0.0,0.0
2113000709,2011-12,Eastern,3.67489562294691,8.072581130541733,4.382261272544646,4.956224233938271,1.1346008413193573,6.539779157783953,3.9608739955892647,5.473851138550435,3.8132400358647214,5.2035378600301785,1.5762269047705955,7.783627571019375,8.833869289574741,7.216909662723418,3.4165526047242594,0.0006897601229247542,0.00016374557540020426,0.0005232451955237033,0.0,0.0
211300070903,2011-12,Eastern,3.522936591835788,5.965103523789768,4.480737556667987,4.618620762551453,1.201861771243871,8.022053496179298,4.002798690152868,4.509835678516065,3.5280018806158924,4.900731437510032,1.4546797742714932,5.707666337505426,7.280553539010178,6.401471734942859,2.8325222713466784,0.0007882527876906742,0.00022362388868181084,0.0007684189119179035,0.0,0.0
211300070905,2011-12,Eastern,4.786963766848183,10.446180473963937,5.6254762398637554,5.87945274553706,1.273777839267323,6.988869292945926,5.567160654626294,6.601250190362744,4.831631002748708,6.2199323010999406,2.092944877471629,9.20730921680305,9.827009751710282,9.45914978598201,4.50011184859127,0.0009594080967145775,0.00018051580913793443,0.0006106347601766687,0.0,0.0
211300070906,2011-12,Eastern,2.307748787989358,4.496537167563057,2.713002125130991,2.967498500326185,0.6972050297672925,4.385129231017743,2.6977212941089914,3.153407232253248,2.3441097596592884,3.2336226617060855,1.02180609193307,4.221471016234659,5.333604491878345,4.421398701946681,1.9731059431915507,0.00038087047548095626,8.457877877300565e-05,0.00033535744229281744,0.0,0.0
2113000710,2011-12,Eastern,1.1540878211670207,2.3817272143389396,1.3532062501935123,1.577969991385989,0.32019639918474974,2.348823454048156,1.3311754992792717,1.528823353419324,1.1586488046719605,1.6566903207389663,0.6200252939285332,2.0813474081143117,2.7506184974603083,2.0169165462593788,0.9607103307868622,0.00013346921299129584,2.8430135239953287e-05,0.00011219388371671065,0.0,0.0
2113000901,2011-12,Eastern,2.089591155510607,4.019890925345804,2.5026617728379517,2.789313146264713,0.6313432558601763,4.276157742252008,2.2675528038297807,2.6918224073636288,2.249010821910105,3.0510038317419674,1.0543770456017714,3.6498056892823385,4.76066989827815,4.155901617866653,1.755731596137799,0.00043152288268953544,8.681225051754183e-05,0.00037830682290759105,0.0,0.0
2113000902,2011-12,Eastern,0.8542539359401351,1.6669049970580163,1.008692370101071,1.1407028389856113,0.26753520911343887,1.7190637455476405,0.962962669885121,1.104960929665939,0.8725759591866606,1.2187625768218115,0.4491013652210624,1.6102133375584886,1.9876107050023761,1.7188974696213721,0.7216598870926495,0.00014693830293855808,3.300700831148461e-05,0.00013008192665444905,0.0,0.0
2113000903,2011-12,Eastern,2.1501816827708455,4.321780347395948,2.652711080241017,2.832303479924816,0.624905701231088,4.177609439725627,2.4576105341286403,2.948112431010808,2.1567618832957898,3.021048923134592,1.063939691727579,3.8789910062774546,4.694410951878952,3.497827819747706,1.9565965829109306,0.0004868107160906935,0.0001222727149899927,0.00038067754216603906,0.0,0.0
2113000905,2011-12,Eastern,1.1949141285398508,2.4125618522461556,1.5091920509417385,1.649092504223938,0.37911976168169964,2.4230173438720493,1.3678047650065457,1.684899166437616,1.2416409081165853,1.7764193482844441,0.6212588469391426,2.2447780089442118,2.863095673762514,2.2205135071005695,1.0807509276053087,0.00017401046786198756,4.504839523330642e-05,0.00014767410336085718,0.0,0.0
211300090503,2011-12,Eastern,1.6217587121094212,3.012140719149315,1.8962227898379185,2.1924113444663464,0.5469287106453461,3.3917619651871926,2.1492818043812103,2.059329850102628,1.6079112135066116,2.2979737213237263,0.7669888211931751,2.9950229760022826,3.756609593934355,3.097577753803231,1.3116903024056772,0.0002994294409824391,7.283418834707977e-05,0.00028184085363797086,0.0,0.0
211300090504,2011-12,Eastern,1.3916539675825215,2.6184028727764703,1.6434767063002305,1.8441123614703894,0.4593426964010637,2.7994316517403415,1.8641408547802727,1.8432609618541544,1.3841266982140925,1.999564719136543,0.6782189171370107,2.4648983081790914,3.255893031345133,2.596694838188555,1.2118349356306062,0.00023573781218623864,5.399581172980885e-05,0.00022031747187119098,0.0,0.0
2113000906,2011-12,Eastern,2.8347074993368317,5.452802086249506,3.3017529001788963,3.201376605185331,0.6658440101122076,5.016727486272472,2.544342807481862,3.843355493308971,2.6804783953816473,3.7641904239829587,1.1312676762239564,4.446005113478637,6.104960617041692,5.1538190434392925,2.451930373968617,0.00027916803131047585,5.8931924229728586e-05,0.00021945813529735422,0.0,0.0
2113000907,2011-12,Eastern,1.5922950341871973,3.9649297257895784,1.880430263298823,2.2385516017111367,0.45145540034169507,2.5696093800602715,1.5168251614957364,2.33935836487388,1.6973234673761324,2.392258521900394,0.8586243277538009,3.267852294497518,4.333320704093128,4.556028496699729,1.5859472654619797,0.00010569126510746394,1.83020424670035e-05,7.321606464784492e-05,0.0,0.0
2113000908,2011-12,Eastern,1.7635004897518123,3.395982387978432,2.2322006025420302,2.4444229261168195,0.5810387355707426,3.7500228664003603,2.1056789812675913,2.367085324141128,1.7653453502420227,2.6722762419581594,0.8415524239768767,3.0472840194472948,4.145160431613219,3.042425720133244,1.576096188803747,0.0003497505551593713,9.263195396547706e-05,0.00029833616035506604,0.0,0.0
